id,depth,value,time
1,0,2.29,05/10/2022 14:00
2,0.1,0.89,05/10/2022 14:00
3,0.2,0.65,05/10/2022 14:00
4,0.4,0.659999,05/10/2022 14:00
5,0.6,0.63,05/10/2022 14:00
6,0.8,0.57,05/10/2022 14:00
7,1,0.35,05/10/2022 14:00
8,1.2,0.37,05/10/2022 14:00
9,1.4,0.14,05/10/2022 14:00
10,1.6,0,05/10/2022 14:00
11,1.8,-0.04,05/10/2022 14:00
12,2,-0.26,05/10/2022 14:00
13,2.5,-0.589999,05/10/2022 14:00
14,3,-0.86,05/10/2022 14:00
15,3.5,-1.26,05/10/2022 14:00
16,4,-1.309999,05/10/2022 14:00
17,4.5,-1.63,05/10/2022 14:00
18,5,-1.74,05/10/2022 14:00
1,0,2.6,05/10/2022 20:00
2,0.1,1.04,05/10/2022 20:00
3,0.2,0.64,05/10/2022 20:00
4,0.4,0.61,05/10/2022 20:00
5,0.6,0.599999,05/10/2022 20:00
6,0.8,0.55,05/10/2022 20:00
7,1,0.34,05/10/2022 20:00
8,1.2,0.37,05/10/2022 20:00
9,1.4,0.14,05/10/2022 20:00
10,1.6,0,05/10/2022 20:00
11,1.8,-0.04,05/10/2022 20:00
12,2,-0.26,05/10/2022 20:00
13,2.5,-0.589999,05/10/2022 20:00
14,3,-0.87,05/10/2022 20:00
15,3.5,-1.26,05/10/2022 20:00
16,4,-1.309999,05/10/2022 20:00
17,4.5,-1.63,05/10/2022 20:00
18,5,-1.74,05/10/2022 20:00
1,0,2.25,06/10/2022 02:00
2,0.1,1.03,06/10/2022 02:00
3,0.2,0.65,06/10/2022 02:00
4,0.4,0.58,06/10/2022 02:00
5,0.6,0.57,06/10/2022 02:00
6,0.8,0.539999,06/10/2022 02:00
7,1,0.34,06/10/2022 02:00
8,1.2,0.36,06/10/2022 02:00
9,1.4,0.14,06/10/2022 02:00
10,1.6,0,06/10/2022 02:00
11,1.8,-0.04,06/10/2022 02:00
12,2,-0.26,06/10/2022 02:00
13,2.5,-0.589999,06/10/2022 02:00
14,3,-0.86,06/10/2022 02:00
15,3.5,-1.26,06/10/2022 02:00
16,4,-1.309999,06/10/2022 02:00
17,4.5,-1.63,06/10/2022 02:00
18,5,-1.74,06/10/2022 02:00
1,0,3.04,06/10/2022 08:00
2,0.1,1.39,06/10/2022 08:00
